id,x,y,fix_x,fix_y,movable
0,0,0,1,1,0
1,3,0,0,0,0
2,6,0,0,0,0
3,9,0,0,0,0
4,12,0,0,0,0
5,15,0,0,1,0
6,1.75,2.5,0,0,1
7,4.5,3.25,0,0,1
8,7.5,3.5,0,0,1
9,10.5,3.25,0,0,1
10,13.25,2.5,0,0,1
