id,x,y,fix_x,fix_y,movable_x,movable_y
0,-7.5,0.0,1,1,0,0
1,-6.499684643436543,0.0,0,0,1,0
2,-3.9446029657750414,0.0,0,0,1,0
3,-1.0354879218859363,0.0,0,0,1,0
4,1.0354879218859363,0.0,0,0,1,0
5,3.9446029657750414,0.0,0,0,1,0
6,6.499684643436543,0.0,0,0,1,0
7,7.5,0.0,0,1,0,0
8,-7.597383987376439,-1.0062372603025405,0,0,1,1
9,-6.989680917936193,-2.916644203407418,0,0,1,1
10,-5.400980191464119,-5.300842436673271,0,0,1,1
11,0.0,-6.875468693413037,0,0,1,1
12,5.400980191464119,-5.300842436673271,0,0,1,1
13,6.989680917936193,-2.916644203407418,0,0,1,1
14,7.597383987376439,-1.0062372603025405,0,0,1,1
