id,x,y,fix_x,fix_y,movable_x,movable_y
0,-7.5,0.0,1,1,0,0.0
1,-4.5,0.0,0,0,0,0.0
2,-2.5681819136651334,-0.4092514965707402,0,0,1,1.0
3,-1.5,0.0,0,0,0,0.0
4,1.5,0.0,0,0,0,0.0
5,2.5681819136651334,-0.4092514965707402,0,1,1,
6,4.5,0.0,0,0,0,0.0
7,7.5,0.0,0,1,0,0.0
8,-5.735140429143489,-1.4944715667106605,0,0,1,1.0
9,-3.824279959301867,-2.175878274003531,0,0,1,1.0
10,-1.6426680058748155,-2.02320684119827,0,0,1,1.0
11,0.0,-1.0931588205392364,0,0,1,1.0
12,1.6426680058748155,-2.02320684119827,0,0,1,1.0
13,3.824279959301867,-2.175878274003531,0,0,1,1.0
14,5.735140429143489,-1.4944715667106605,0,0,1,1.0
