id,x,y,fix_x,fix_y,movable
0,-7.5,0.0,1,1,0
1,-4.5,0.0,0,0,0
2,-1.5,0.0,0,0,0
3,1.5,0.0,0,0,0
4,4.5,0.0,0,0,0
5,7.5,0.0,0,1,0
6,-7.398500292985776,-1.7580636667839376,0,0,1
7,-4.969211127870108,-5.03648670997574,0,0,1
8,0.0020348832325742926,-6.945454892111449,0,0,1
9,4.969211127870108,-5.03648670997574,0,0,1
10,7.398500292985776,-1.7580636667839376,0,0,1
