id,start,end
0,0,1
1,1,2
2,2,3
3,3,4
4,4,5
5,6,11
6,7,11
7,7,8
8,8,9
9,9,12
10,12,10
11,0,6
12,6,1
13,1,7
14,2,7
15,2,8
16,3,8
17,3,9
18,4,9
19,4,10
20,10,5
21,11,1
22,12,4
