id,x,y,fix_x,fix_y,movable_x,movable_y
0,-7.5,0.0,1,1,0,0
1,-6.499684643436543,0.0,0,0,1,0
2,-3.6887774757511815,0.0,0,0,1,0
3,-1.0257830204323395,0.0,0,0,1,0
4,1.0257830204323395,0.0,0,0,1,0
5,3.6887774757511815,0.0,0,0,1,0
6,6.499684643436543,0.0,0,0,1,0
7,7.5,0.0,0,1,0,0
8,-7.600138053880937,-1.0628990654496788,0,0,1,1
9,-6.264825423714422,-3.967685288849429,0,0,1,1
10,0.0,-5.623697070176704,0,0,1,1
11,6.264825423714422,-3.967685288849429,0,0,1,1
12,7.600138053880937,-1.0628990654496788,0,0,1,1
