id,start,end
0,0,1
1,1,2
2,2,3
3,3,4
4,4,5
5,6,7
6,7,8
7,8,9
8,9,10
9,0,6
10,6,1
11,1,7
12,7,2
13,2,8
14,8,3
15,3,9
16,9,4
17,4,10
18,10,5
