id,x,y,fix_x,fix_y,movable
0,-7.5,0,1,1,0
1,-4.5,0,0,0,0
2,-1.5,0,0,0,0
3,1.5,0,0,0,0
4,4.5,0,0,0,0
5,7.5,0,0,1,0
6,-7.24,0.96,0,0,1
7,-3.63,3.68,0,0,1
8,0,4.48,0,0,1
9,3.63,3.68,0,0,1
10,7.24,0.96,0,0,1
11,-6.33,2.12,0,0,1
12,6.33,2.12,0,0,1
