id,x,y,fix_x,fix_y,movable_x,movable_y
0,-7.5,0.0,1,1,0,0
1,-4.614265609052605,0.0,0,0,1,0
2,-1.6142936359402966,0.0,0,0,1,0
3,0.0,0.0,0,0,1,0
4,1.6142936359402966,0.0,0,0,1,0
5,4.614265609052605,0.0,0,0,1,0
6,7.5,0.0,0,1,0,0
7,-6.841464841173724,-2.5844106195683803,0,0,1,1
8,-5.871440576664653,-4.069642783815646,0,0,1,1
9,-2.2606179164974107,-5.631643487075831,0,0,1,1
10,2.2606179164974107,-5.631643487075831,0,0,1,1
11,5.871440576664653,-4.069642783815646,0,0,1,1
12,6.841464841173724,-2.5844106195683803,0,0,1,1
13,-7.28068010953295,-1.2082868601589294,0,0,1,1
14,7.28068010953295,-1.2082868601589294,0,0,1,1
