id,start,end
0,0,1
1,1,2
2,2,3
3,3,4
4,4,5
5,5,6
6,7,8
7,8,9
8,9,10
9,10,11
10,11,12
11,12,13
12,13,14
13,0,7
14,7,1
15,1,8
16,1,9
17,9,2
18,2,10
19,10,3
20,3,11
21,11,4
22,4,12
23,12,5
24,5,13
25,5,14
26,14,6
