id,x,y,fix_x,fix_y,movable_x,movable_y
0,-7.5,0.0,1,1,0,0
1,-4.70609587817433,0.0,0,0,1,0
2,-2.9975576782190396,0.0,0,0,1,0
3,0.0,0.0,0,0,1,0
4,2.9975576782190396,0.0,0,0,1,0
5,4.70609587817433,0.0,0,0,1,0
6,7.5,0.0,0,1,0,0
7,-6.816184754645226,1.5653118608727374,0,0,1,1
8,-5.701571408892156,2.612207906796897,0,0,1,1
9,-3.4170203199465448,4.314256577702445,0,0,1,1
10,3.4170203199465448,4.314256577702445,0,0,1,1
11,5.701571408892156,2.612207906796897,0,0,1,1
12,6.816184754645226,1.5653118608727374,0,0,1,1
