id,start,end
0,0,1
1,1,2
2,2,3
3,3,4
4,4,5
5,5,6
6,7,8
7,8,9
8,9,10
9,10,11
10,9,3
11,9,2
12,9,4
13,2,8
14,4,10
15,8,1
16,10,5
17,1,7
18,5,11
19,7,0
20,11,6
