id,start,end
0,0,1
1,1,2
2,2,3
3,3,4
4,4,5
5,6,7
6,7,8
7,8,9
8,9,10
9,10,11
10,11,12
11,0,6
12,6,1
13,1,7
14,1,8
15,8,2
16,2,9
17,9,3
18,3,10
19,10,4
20,4,11
21,4,12
22,12,5
