id,start,end,min_dist,max_dist
0,0,1,1,3
1,1,2,1,3
2,2,3,1,3
3,3,4,1,3
4,4,5,1,3
5,5,6,1,3
6,7,8,1,
7,8,9,1,
8,9,10,1,
9,10,11,1,
10,9,3,1,
11,9,2,1,
12,9,4,1,
13,2,8,1,
14,4,10,1,
15,8,1,1,
16,10,5,1,
17,1,7,1,
18,5,11,1,
19,7,12,1,
20,12,0,1,
21,11,13,1,
22,13,6,1,
23,1,12,1,
24,5,13,1,
