id,x,y,fix_x,fix_y,movable_x,movable_y
0,-7.5,0.0,1,1,0,0
1,-5.505550356906797,0.0,0,0,1,0
2,-2.569929923428596,0.0,0,0,1,0
3,0.0,0.0,0,0,1,0
4,2.569929923428596,0.0,0,0,1,0
5,5.505550356906797,0.0,0,0,1,0
6,7.5,0.0,0,1,0,0
7,-7.259895999446119,-1.0748622485061488,0,0,1,1
8,-6.217766966502409,-3.166434273219898,0,0,1,1
9,-3.034217467721479,-5.275179865914213,0,0,1,1
10,3.034217467721479,-5.275179865914213,0,0,1,1
11,6.217766966502409,-3.166434273219898,0,0,1,1
12,7.259895999446119,-1.0748622485061488,0,0,1,1
